,,,,,,,,
Accuracy score,,,Sampling Method,,,,,
,,,Undersampling,,,Oversampling,,
,,Baseline (no sampling),Random,Cluster Centroids,Near Miss,Random,SMOTE,ADASYN
Model,Logistic Regression,0.999145629,0.950668867,0.853949417,0.960090353,0.973409173,0.979729176,0.965930503
,Random Forest,0.999461629,0.971513173,0.696160013,0.940954789,0.999391407,0.998747703,0.99854874
,SVM,0.999449926,0.977318212,0.993890664,0.998700888,0.998221036,0.984796882,0.977540583
